accession,definition,organism,taxid,length
WP_008788073.1,glycerol kinase,Coprobacillus,100883,495
WP_008373317.1,glycerol kinase,Coprococcus comes,410072,498
WP_016441583.1,glycerol kinase,Coprococcus sp. HPP0048,1078091,498
WP_016439756.1,glycerol kinase,Coprococcus sp. HPP0074,1078090,498
WP_018962613.1,glycerol kinase,Coprothermobacter platensis,108819,500
WP_012544743.1,glycerol kinase,Coprothermobacter proteolyticus,35786,498
WP_013043962.1,glycerol kinase,Coraliomargarita akajimensis,395922,497
WP_003862629.1,glycerol kinase,Corynebacterium,1716,509
WP_005279713.1,glycerol kinase,Corynebacterium,1716,515
WP_016421657.1,glycerol kinase,Corynebacterium,1716,518
WP_003847924.1,glycerol kinase,Corynebacterium ammoniagenes,1697,499
WP_005510503.1,glycerol kinase,Corynebacterium amycolatum,43765,518
WP_010188529.1,glycerol kinase,Corynebacterium aurimucosum,169292,515
WP_015652283.1,glycerol kinase,Corynebacterium callunae,1721,509
WP_006822529.1,glycerol kinase,Corynebacterium casei,160386,499
WP_018019057.1,glycerol kinase,Corynebacterium ciconiae,227319,510
WP_006284780.1,glycerol kinase,Corynebacterium crenatum,168810,509
WP_004567377.1,glycerol kinase,Corynebacterium diphtheriae,1717,506
WP_010935685.1,glycerol kinase,Corynebacterium diphtheriae,1717,506
WP_014311017.1,glycerol kinase,Corynebacterium diphtheriae,1717,489
WP_014318336.1,glycerol kinase,Corynebacterium diphtheriae,1717,506
WP_014320564.1,glycerol kinase,Corynebacterium diphtheriae,1717,489
WP_018022035.1,glycerol kinase,Corynebacterium doosanense,1121358,509
WP_035109268.1,glycerol kinase,Corynebacterium efficiens,152794,508
WP_005288015.1,glycerol kinase,Corynebacterium genitalium,38288,498
WP_005389239.1,glycerol kinase,Corynebacterium glucuronolyticum,39791,503
WP_003857839.1,glycerol kinase,Corynebacterium glutamicum,1718,509
WP_015402044.1,glycerol kinase,Corynebacterium halotolerans,225326,507
WP_012730896.1,glycerol kinase,Corynebacterium kroppenstedtii,161879,512
WP_006840410.1,glycerol kinase,Corynebacterium lipophiloflavum,161889,492
WP_018295928.1,glycerol kinase,Corynebacterium lubricantis,541095,495
WP_018117792.1,glycerol kinase,Corynebacterium mastitidis,161890,510
WP_005521248.1,glycerol kinase,Corynebacterium matruchotii,43768,503
WP_005526515.1,glycerol kinase,Corynebacterium matruchotii,43768,503
WP_018582345.1,glycerol kinase,Corynebacterium pilosum,35756,491
WP_018121561.1,glycerol kinase,Corynebacterium propinquum,43769,512
WP_005325394.1,glycerol kinase,Corynebacterium pseudogenitalium,38303,515
WP_013240954.1,glycerol kinase,Corynebacterium pseudotuberculosis,1719,509
WP_014366295.1,glycerol kinase,Corynebacterium pseudotuberculosis,1719,509
WP_014400907.1,glycerol kinase,Corynebacterium pseudotuberculosis,1719,509
WP_014522965.1,glycerol kinase,Corynebacterium pseudotuberculosis,1719,509
WP_014799871.1,glycerol kinase,Corynebacterium pseudotuberculosis,1719,509
WP_016457880.1,glycerol kinase,Corynebacterium pyruviciproducens,598660,503
WP_005529457.1,glycerol kinase,Corynebacterium striatum,43770,515
WP_005327045.1,glycerol kinase,Corynebacterium tuberculostearicum,38304,515
WP_014525177.1,glycerol kinase,Corynebacterium ulcerans,65058,508
WP_014835707.1,glycerol kinase,Corynebacterium ulcerans,65058,508
WP_018023420.1,glycerol kinase,Corynebacterium ulceribovis,487732,509
WP_015201799.1,glycerol kinase,Crinalium epipsammum,241425,493
WP_007779258.1,glycerol kinase,Cronobacter,413496,505
WP_007798050.1,glycerol kinase,Cronobacter,413496,505
WP_012126088.1,glycerol kinase,Cronobacter,413496,505
WP_007667751.1,glycerol kinase,Cronobacter condimenti,1163710,505
WP_006163538.1,glycerol kinase,Cupriavidus basilensis,68895,520
WP_011615701.1,glycerol kinase,Cupriavidus necator,106590,523
WP_013957321.1,glycerol kinase,Cupriavidus necator,106590,523
WP_011298369.1,glycerol kinase,Cupriavidus pinatubonensis,248026,516
WP_019451862.1,glycerol kinase,Cupriavidus sp. BIS7,1217718,513
WP_018309341.1,glycerol kinase,Cupriavidus sp. UYPR2.512,1080187,523
WP_020202329.1,glycerol kinase,Cupriavidus sp. WS,1312922,528
WP_012353261.1,glycerol kinase,Cupriavidus taiwanensis,164546,523
WP_018007857.1,glycerol kinase,Cupriavidus taiwanensis,164546,523
WP_017887334.1,glycerol kinase,Curtobacterium,2034,503
WP_019576365.1,glycerol kinase,Curvibacter lanceolatus,86182,497
WP_002522774.1,glycerol kinase,Cutibacterium acnes,1747,515
WP_002538484.1,glycerol kinase,Cutibacterium acnes,1747,515
WP_002543683.1,glycerol kinase,Cutibacterium acnes,1747,515
WP_002545329.1,glycerol kinase,Cutibacterium acnes,1747,515
WP_014598714.1,glycerol kinase,Cutibacterium acnes,1747,515
WP_015219626.1,glycerol kinase,Cyanobacterium aponinum,379064,496
WP_017321913.1,glycerol kinase,cyanobacterium PCC 7702,1173021,494
WP_014020440.1,glycerol kinase,Cyclobacterium marinum,104,500
WP_015209401.1,glycerol kinase,Cylindrospermum stagnale,142864,497
WP_011287670.1,glycerol kinase,Dechloromonas aromatica,259537,502
WP_013007945.1,glycerol kinase,Deferribacter desulfuricans,197162,496
WP_015042316.1,glycerol kinase,Dehalobacter,56112,497
WP_019224846.1,glycerol kinase,Dehalobacter sp. E1,304767,497
WP_020490104.1,glycerol kinase,Dehalobacter sp. FTH1,1035308,505
WP_020492280.1,glycerol kinase,Dehalobacter sp. FTH1,1035308,497
WP_019586052.1,glycerol kinase,Deinococcus apachensis,309886,502
WP_019009817.1,glycerol kinase,Deinococcus aquatilis,519440,556
WP_012695150.1,glycerol kinase,Deinococcus deserti,310783,499
WP_011526040.1,glycerol kinase,Deinococcus geothermalis,68909,505
WP_013555838.1,glycerol kinase,Deinococcus maricopensis,309887,503
WP_015236295.1,glycerol kinase,Deinococcus peraridilitoris,432329,505
WP_013614866.1,glycerol kinase,Deinococcus proteolyticus,55148,502
WP_010888563.1,glycerol kinase,Deinococcus radiodurans,1299,501
WP_017870196.1,glycerol kinase,Deinococcus wulumuqiensis,980427,500
WP_012202955.1,glycerol kinase,Delftia,80865,498
WP_016449164.1,glycerol kinase,Delftia acidovorans,80866,498
WP_016452009.1,glycerol kinase,Delftia acidovorans,80866,498
WP_013804453.1,glycerol kinase,Delftia sp. Cs1-4,742013,498
WP_006423821.1,glycerol kinase,delta proteobacterium NaphS2,88274,503
WP_018157864.1,glycerol kinase,Demetria terragena,63959,503
WP_016663431.1,glycerol kinase,Dermabacter sp. HFH0086,1203568,516
WP_006946725.1,glycerol kinase,Dermacoccus,57495,505
WP_009709019.1,glycerol kinase,Desmospora sp. 8437,997346,512
WP_013259061.1,glycerol kinase,Desulfarculus baarsii,453230,505
WP_014795742.1,glycerol kinase,Desulfitobacterium dehalogenans,36854,498
WP_015263705.1,glycerol kinase,Desulfitobacterium dichloroeliminans,233055,494
WP_005815736.1,glycerol kinase,Desulfitobacterium hafniense,49338,494
WP_015945391.1,glycerol kinase,Desulfitobacterium hafniense,49338,494
WP_018212160.1,glycerol kinase,Desulfitobacterium hafniense,49338,494
WP_018305416.1,glycerol kinase,Desulfitobacterium hafniense,49338,494
WP_019851448.1,glycerol kinase,Desulfitobacterium sp. PCE1,146907,498
WP_020589284.1,glycerol kinase,Desulfobacter curvatus,2290,497
WP_015903722.1,glycerol kinase,Desulfobacterium autotrophicum,2296,505
WP_020876880.1,glycerol kinase,Desulfococcus multivorans,897,503
WP_012174815.1,glycerol kinase,Desulfococcus oleovorans,181663,505
WP_015752519.1,glycerol kinase,Desulfohalobium retbaense,45663,505
WP_015773622.1,glycerol kinase,Desulfomicrobium baculatum,899,503
WP_014829396.1,glycerol kinase,Desulfosporosinus acidiphilus,885581,498
WP_014905211.1,glycerol kinase,Desulfosporosinus meridiei,79209,498
WP_014187637.1,glycerol kinase,Desulfosporosinus orientis,1563,498
WP_009623644.1,glycerol kinase,Desulfosporosinus sp. OT,913865,498
WP_006967744.1,glycerol kinase,Desulfotignum phosphitoxidans,190898,504
WP_008412170.1,glycerol kinase,Desulfotomaculum hydrothermale,412895,500
WP_003540632.1,glycerol kinase,Desulfotomaculum nigrificans,1565,500
WP_013809434.1,glycerol kinase,Desulfotomaculum nigrificans,1565,500
WP_011366544.1,glycerol kinase,Desulfovibrio alaskensis,58180,497
WP_012624973.1,glycerol kinase,Desulfovibrio desulfuricans,876,498
WP_005991598.1,glycerol kinase,Desulfovibrio fructosivorans,878,497
WP_015334980.1,glycerol kinase,Desulfovibrio hydrothermalis,191026,497
WP_015861430.1,glycerol kinase,Desulfovibrio magneticus,184917,497
WP_018125630.1,glycerol kinase,Desulfovibrio oxyclinae,63560,503
WP_006004540.1,glycerol kinase,Desulfovibrio piger,901,502
WP_015853018.1,glycerol kinase,Desulfovibrio salexigens,880,495
WP_008681992.1,glycerol kinase,Desulfovibrio sp. 3_1_syn3,457398,500
WP_009302851.1,glycerol kinase,Desulfovibrio sp. 6_1_46AFAA,665942,500
WP_007522604.1,glycerol kinase,Desulfovibrio sp. A2,298701,497
WP_020879416.1,glycerol kinase,Desulfovibrio sp. X2,941449,497
WP_010940392.1,glycerol kinase,Desulfovibrio vulgaris,881,497
WP_012611957.1,glycerol kinase,Desulfovibrio vulgaris,881,497
WP_014524620.1,glycerol kinase,Desulfovibrio vulgaris,881,497
WP_020001533.1,glycerol kinase,Desulfovibrionaceae,194924,503
WP_018085303.1,glycerol kinase,Desulfurispora thermophila,265470,499
WP_011927960.1,glycerol kinase,Dichelobacter nodosus,870,497
WP_012767891.1,glycerol kinase,Dickeya chrysanthemi,556,503
WP_013315890.1,glycerol kinase,Dickeya dadantii,204038,503
WP_015855448.1,glycerol kinase,Dickeya paradisiaca,69223,503
WP_012886543.1,glycerol kinase,Dickeya zeae,204042,503
WP_016942837.1,glycerol kinase,Dickeya zeae,204042,503
WP_019846439.1,glycerol kinase,Dickeya zeae,204042,503
WP_012548076.1,glycerol kinase,Dictyoglomus thermophilum,14,494
WP_012583206.1,glycerol kinase,Dictyoglomus turgidum,513050,494
WP_010542038.1,glycerol kinase,Dietzia alimentaria,665550,519
WP_007628892.1,glycerol kinase,Dietzia cinnamea,321318,519
WP_017836657.1,glycerol kinase,Dietzia sp. UCD-THP,1292020,519
WP_004634533.1,glycerol kinase,Dolosigranulum pigrum,29394,503
WP_005330533.1,glycerol kinase,Dorea formicigenerans,39486,497
WP_005341022.1,glycerol kinase,Dorea formicigenerans,39486,497
WP_019921422.1,glycerol kinase,Duganella zoogloeoides,75659,503
WP_019945947.1,glycerol kinase,Dyadobacter beijingensis,365489,499
WP_015813350.1,glycerol kinase,Dyadobacter fermentans,94254,499
WP_017463976.1,glycerol kinase,Dyella ginsengisoli,363848,498
WP_019463561.1,glycerol kinase,Dyella japonica,231455,499
WP_006798385.1,glycerol kinase,Dysgonomonas gadei,156974,495
WP_006842692.1,glycerol kinase,Dysgonomonas mossii,163665,496
WP_018475275.1,glycerol kinase,Echinicola pacifica,346377,500
WP_015265597.1,glycerol kinase,Echinicola vietnamensis,390884,500
WP_012850236.1,glycerol kinase,Edwardsiella,635,502
WP_015872951.1,glycerol kinase,Edwardsiella ictaluri,67780,502
WP_005290956.1,glycerol kinase,Edwardsiella tarda,636,502
WP_018133536.1,glycerol kinase,Effusibacillus pohliae,232270,500
WP_004801551.1,glycerol kinase,Eggerthia catenaformis,31973,497
WP_009254864.1,glycerol kinase,Eisenbergiella tayi,1432052,503
WP_016198428.1,glycerol kinase,Elizabethkingia meningoseptica,238,498
WP_015028738.1,glycerol kinase,Emticicia oligotrophica,312279,498
WP_020584672.1,glycerol kinase,Endozoicomonas elysicola,305900,502
WP_014072351.1,glycerol kinase,Enterobacter,547,502
WP_014172201.1,glycerol kinase,Enterobacter,547,502
WP_006179172.1,glycerol kinase,Enterobacter cancerogenus,69218,502
WP_015961006.1,glycerol kinase,Enterobacter sp. 638,399742,502
WP_002922944.1,glycerol kinase,Enterobacterales,91347,503
WP_003028792.1,glycerol kinase,Enterobacterales,91347,502
WP_004126722.1,glycerol kinase,Enterobacterales,91347,503
WP_008109683.1,glycerol kinase,Enterobacterales,91347,502
WP_019452234.1,glycerol kinase,Enterobacterales,91347,502
WP_000136780.1,glycerol kinase,Enterobacteriaceae,543,502
WP_000136782.1,glycerol kinase,Enterobacteriaceae,543,502
WP_000136804.1,glycerol kinase,Enterobacteriaceae,543,502
WP_003862028.1,glycerol kinase,Enterobacteriaceae,543,502
WP_004019375.1,glycerol kinase,Enterobacteriaceae,543,502
WP_004106971.1,glycerol kinase,Enterobacteriaceae,543,503
WP_004868997.1,glycerol kinase,Enterobacteriaceae,543,501
WP_007369233.1,glycerol kinase,Enterobacteriaceae,543,502
WP_008457520.1,glycerol kinase,Enterobacteriaceae,543,504
WP_008501808.1,glycerol kinase,Enterobacteriaceae,543,502
WP_012133870.1,glycerol kinase,Enterobacteriaceae,543,502
WP_014885706.1,glycerol kinase,Enterobacteriaceae,543,502
WP_014906766.1,glycerol kinase,Enterobacteriaceae,543,503
WP_015369131.1,glycerol kinase,Enterobacteriaceae,543,503
WP_016155254.1,glycerol kinase,Enterobacteriaceae,543,502
WP_020455954.1,glycerol kinase,Enterobacteriaceae,543,502
WP_017375223.1,glycerol kinase,Enterobacteriaceae bacterium LSJC7,1224136,504
WP_015343985.1,glycerol kinase,Enterobacteriaceae bacterium strain FGI 57,693444,502
WP_002292557.1,glycerol kinase,Enterococcus,1350,498
WP_002294668.1,glycerol kinase,Enterococcus,1350,498
WP_002310688.1,glycerol kinase,Enterococcus,1350,498
WP_002314031.1,glycerol kinase,Enterococcus,1350,498
WP_003127402.1,glycerol kinase,Enterococcus,1350,506
WP_005225176.1,glycerol kinase,Enterococcus,1350,506
WP_005875467.1,glycerol kinase,Enterococcus,1350,498
WP_008377082.1,glycerol kinase,Enterococcus,1350,506
WP_010742202.1,glycerol kinase,Enterococcus,1350,502
WP_010743426.1,glycerol kinase,Enterococcus,1350,502
WP_016178473.1,glycerol kinase,Enterococcus,1350,502
WP_010753710.1,glycerol kinase,Enterococcus asini,57732,507
WP_010771254.1,glycerol kinase,Enterococcus caccae,317735,501
WP_010773330.1,glycerol kinase,Enterococcus caccae,317735,502
WP_005237473.1,glycerol kinase,Enterococcus casseliflavus,37734,506
WP_016250522.1,glycerol kinase,Enterococcus cecorum,44008,500
WP_016184159.1,glycerol kinase,Enterococcus columbae,1355,498
WP_016172116.1,glycerol kinase,Enterococcus dispar,44009,503
WP_016177283.1,glycerol kinase,Enterococcus durans,53345,498
WP_002362033.1,glycerol kinase,Enterococcus faecalis,1351,501
WP_002377099.1,glycerol kinase,Enterococcus faecalis,1351,501
WP_002395194.1,glycerol kinase,Enterococcus faecalis,1351,501
WP_002403817.1,glycerol kinase,Enterococcus faecalis,1351,501
WP_002410553.1,glycerol kinase,Enterococcus faecalis,1351,501
WP_016618461.1,glycerol kinase,Enterococcus faecalis,1351,501
WP_016625854.1,glycerol kinase,Enterococcus faecalis,1351,503
WP_016634911.1,glycerol kinase,Enterococcus faecalis,1351,501
WP_002312734.1,glycerol kinase,Enterococcus faecium,1352,498
WP_002317520.1,glycerol kinase,Enterococcus faecium,1352,498
WP_002325279.1,glycerol kinase,Enterococcus faecium,1352,498
WP_002345426.1,glycerol kinase,Enterococcus faecium,1352,498
WP_016631712.1,glycerol kinase,Enterococcus faecium,1352,491
WP_010779235.1,glycerol kinase,Enterococcus gilvus,160453,502
WP_010779419.1,glycerol kinase,Enterococcus gilvus,160453,499
WP_010760492.1,glycerol kinase,Enterococcus haemoperoxidus,155618,502
WP_010762882.1,glycerol kinase,Enterococcus haemoperoxidus,155618,501
WP_010737028.1,glycerol kinase,Enterococcus hirae,1354,498
WP_007207390.1,glycerol kinase,Enterococcus italicus,246144,503
WP_010764055.1,glycerol kinase,Enterococcus moraviensis,155617,501
WP_010765861.1,glycerol kinase,Enterococcus moraviensis,155617,502
WP_010736420.1,glycerol kinase,Enterococcus mundtii,53346,498
WP_019722534.1,glycerol kinase,Enterococcus mundtii,53346,498
WP_010757720.1,glycerol kinase,Enterococcus pallens,160454,501
WP_010759881.1,glycerol kinase,Enterococcus pallens,160454,498
WP_010768191.1,glycerol kinase,Enterococcus phoeniculicola,154621,506
WP_010769441.1,glycerol kinase,Enterococcus phoeniculicola,154621,503
WP_016174730.1,glycerol kinase,Enterococcus saccharolyticus,41997,508
WP_016184802.1,glycerol kinase,Enterococcus sulfureus,1356,499
WP_010750268.1,glycerol kinase,Enterococcus villorum,112904,498
WP_017009567.1,glycerol kinase,Enterovibrio,188143,501
WP_016961935.1,glycerol kinase,Enterovibrio norvegicus,188144,501
WP_017005752.1,glycerol kinase,Enterovibrio norvegicus,188144,501
WP_010167371.1,glycerol kinase GlpK,Epulopiscium sp. 'N.t. morphotype B',420336,499
WP_006418228.1,glycerol kinase,Eremococcus coleocola,88132,504
WP_004154856.1,glycerol kinase,Erwinia amylovora,552,504
WP_013200188.1,glycerol kinase,Erwinia billingiae,182337,504
WP_012666521.1,glycerol kinase,Erwinia pyrifoliae,79967,504
WP_014542938.1,glycerol kinase,Erwinia sp. Ejp617,215689,504
WP_012439886.1,glycerol kinase,Erwinia tasmaniensis,338565,504
WP_017801531.1,glycerol kinase,Erwinia toletana,92490,503
WP_016191270.1,glycerol kinase,Erwinia tracheiphila,65700,504
WP_003775790.1,glycerol kinase,Erysipelothrix rhusiopathiae,1648,496
WP_013852524.1,glycerol kinase,Erysipelothrix rhusiopathiae,1648,496
WP_018579939.1,glycerol kinase,Erysipelothrix tonsillarum,38402,492
WP_003536141.1,glycerol kinase,Erysipelotrichaceae,128827,497
WP_008978997.1,glycerol kinase,Erysipelotrichaceae bacterium 5_2_54FAA,552396,493
WP_008819320.1,glycerol kinase,Erysipelotrichaceae bacterium 6_1_45,469614,493
WP_000136774.1,glycerol kinase,Escherichia,561,502
WP_000136799.1,glycerol kinase,Escherichia,561,502
WP_000136801.1,glycerol kinase,Escherichia,561,502
WP_001517514.1,glycerol kinase,Escherichia,561,502
WP_016158826.1,glycerol kinase,Escherichia,561,502
WP_000136775.1,glycerol kinase,Escherichia albertii,208962,502
WP_000136776.1,glycerol kinase,Escherichia coli,562,502
WP_000136777.1,glycerol kinase,Escherichia coli,562,502
WP_000136778.1,glycerol kinase,Escherichia coli,562,502
WP_000136783.1,glycerol kinase,Escherichia coli,562,502
WP_000136784.1,glycerol kinase,Escherichia coli,562,502
WP_000136790.1,glycerol kinase,Escherichia coli,562,502
WP_000136791.1,glycerol kinase,Escherichia coli,562,502
WP_000136792.1,glycerol kinase,Escherichia coli,562,502
WP_000136793.1,glycerol kinase,Escherichia coli,562,502
WP_000136794.1,glycerol kinase,Escherichia coli,562,502
WP_000136797.1,glycerol kinase,Escherichia coli,562,502
WP_000136802.1,glycerol kinase,Escherichia coli,562,502
WP_000136803.1,glycerol kinase,Escherichia coli,562,502
WP_000136816.1,glycerol kinase,Escherichia coli,562,502
WP_000136817.1,glycerol kinase,Escherichia coli,562,502
WP_000349367.1,glycerol kinase,Escherichia coli,562,481
WP_001398097.1,glycerol kinase,Escherichia coli,562,502
WP_001411958.1,glycerol kinase,Escherichia coli,562,502
WP_001455606.1,glycerol kinase,Escherichia coli,562,502
WP_001464844.1,glycerol kinase,Escherichia coli,562,502
WP_001465752.1,glycerol kinase,Escherichia coli,562,502
WP_001469593.1,glycerol kinase,Escherichia coli,562,502
WP_001484004.1,glycerol kinase,Escherichia coli,562,502
WP_001499967.1,glycerol kinase,Escherichia coli,562,502
WP_001567170.1,glycerol kinase,Escherichia coli,562,502
WP_001604353.1,glycerol kinase,Escherichia coli,562,502
WP_001615401.1,glycerol kinase,Escherichia coli,562,502
WP_001646062.1,glycerol kinase,Escherichia coli,562,502
WP_001649547.1,glycerol kinase,Escherichia coli,562,502
WP_001653577.1,glycerol kinase,Escherichia coli,562,502
WP_001679925.1,glycerol kinase,Escherichia coli,562,502
WP_001681870.1,glycerol kinase,Escherichia coli,562,502
WP_001694379.1,glycerol kinase,Escherichia coli,562,502
WP_001705587.1,glycerol kinase,Escherichia coli,562,502
WP_001706687.1,glycerol kinase,Escherichia coli,562,502
WP_001736509.1,glycerol kinase,Escherichia coli,562,502
WP_003618622.1,glycerol kinase,Escherichia coli,562,502
WP_003879913.1,glycerol kinase,Escherichia coli,562,502
WP_004099557.1,glycerol kinase,Escherichia coli,562,502
WP_020231230.1,glycerol kinase,Escherichia coli,562,502
WP_020231747.1,glycerol kinase,Escherichia coli,562,502
WP_020239897.1,glycerol kinase,Escherichia coli,562,502
WP_020245371.1,glycerol kinase,Escherichia coli,562,502
WP_000136798.1,glycerol kinase,Escherichia fergusonii,564,502
WP_000136800.1,glycerol kinase,Escherichia sp. TW09308,754331,502
WP_004062108.1,glycerol kinase,Eubacterium plexicaudatum,97253,498
WP_008688895.1,glycerol kinase,Eubacterium sp. 3_1_31,457402,493
WP_005359998.1,glycerol kinase,Eubacterium ventriosum,39496,497
WP_019669005.1,glycerol kinase,Eudoraea adriatica,446681,496
WP_012726935.1,glycerol kinase,Exiguobacterium,33986,505
WP_014969704.1,glycerol kinase,Exiguobacterium antarcticum,132920,496
WP_014970068.1,glycerol kinase,Exiguobacterium antarcticum,132920,505
WP_012369620.1,glycerol kinase,Exiguobacterium sibiricum,332410,496
WP_012369993.1,glycerol kinase,Exiguobacterium sibiricum,332410,505
WP_016508677.1,glycerol kinase,Exiguobacterium sp. S17,856854,505
WP_005921131.1,glycerol kinase,Faecalibacterium prausnitzii,853,500
WP_005943594.1,glycerol kinase,Faecalibacterium prausnitzii,853,497
WP_015537364.1,glycerol kinase,Faecalibacterium prausnitzii,853,500
WP_015334176.1,glycerol kinase,Fibrella aestuarina,651143,499
WP_009285336.1,glycerol kinase,Fibrisoma limi,663275,499
WP_007203737.1,glycerol kinase,Fictibacillus macauensis,245160,497
WP_008865640.1,glycerol kinase,Flavobacteria bacterium MS024-2A,487796,493
WP_014164214.1,glycerol kinase,Flavobacterium columnare,996,495
WP_007137734.1,glycerol kinase,Flavobacterium frigoris,229204,498
WP_016989273.1,glycerol kinase,Flavobacterium sp. ACAM 123,1189620,498
WP_017495267.1,glycerol kinase,Flavobacterium sp. WG21,1229487,498
WP_013886706.1,glycerol kinase,Flexistipes sinusarabici,2352,499
WP_004287046.1,glycerol kinase,Francisella,262,499
WP_014714671.1,glycerol kinase,Francisella noatunensis,657445,499
WP_012280424.1,glycerol kinase,Francisella philomiragia,28110,499
WP_013922400.1,glycerol kinase,Francisella sp. TX077308,573569,499
WP_003017064.1,glycerol kinase,Francisella tularensis,263,502
WP_003019502.1,glycerol kinase,Francisella tularensis,263,502
WP_003019887.1,glycerol kinase,Francisella tularensis,263,502
WP_003024782.1,glycerol kinase,Francisella tularensis,263,502
WP_003035057.1,glycerol kinase,Francisella tularensis,263,500
WP_003037605.1,glycerol kinase,Francisella tularensis,263,500
WP_012429125.1,glycerol kinase,Francisella tularensis,263,502
WP_014548927.1,glycerol kinase,Francisella tularensis,263,499
WP_014550221.1,glycerol kinase,Francisella tularensis,263,500
WP_013872808.1,glycerol kinase,Frankia symbiont of Datisca glomerata,656024,515
WP_014402060.1,glycerol kinase,Frateuria aurantia,81475,501
WP_009579971.1,glycerol kinase,Fulvivirga imtechensis,881893,497
WP_005892806.1,glycerol kinase,Fusobacterium,848,497
WP_008800793.1,glycerol kinase,Fusobacterium,848,499
WP_005915941.1,glycerol kinase,Fusobacterium hwasookii,1583098,497
WP_005883090.1,glycerol kinase,Fusobacterium mortiferum,850,501
WP_005954673.1,glycerol kinase,Fusobacterium necrophorum,859,499
WP_005956717.1,glycerol kinase,Fusobacterium necrophorum,859,490
WP_005894461.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_005903016.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_005909940.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_008694317.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_008796611.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_008800221.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_008803466.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_009006800.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_011015864.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_020789070.1,glycerol kinase,Fusobacterium nucleatum,851,497
WP_005966476.1,glycerol kinase,Fusobacterium periodonticum,860,497
WP_005970589.1,glycerol kinase,Fusobacterium periodonticum,860,497
WP_008794592.1,glycerol kinase,Fusobacterium periodonticum,860,497
WP_008821795.1,glycerol kinase,Fusobacterium periodonticum,860,497
WP_009422946.1,glycerol kinase,Fusobacterium sp. oral taxon 370,712288,497
WP_005979902.1,glycerol kinase,Fusobacterium ulcerans,861,500
WP_008697286.1,glycerol kinase,Fusobacterium ulcerans,861,500
WP_005951629.1,glycerol kinase,Fusobacterium varium,856,501
WP_008992544.1,glycerol kinase,Galbibacter marinus,555500,497
WP_018346816.1,glycerol kinase,Gallibacterium,155493,504
WP_013745549.1,glycerol kinase,Gallibacterium anatis,750,504
WP_003144108.1,glycerol kinase,Gemella haemolysans,1379,498
WP_003147597.1,glycerol kinase,Gemella haemolysans,1379,498
WP_004633649.1,glycerol kinase,Gemella morbillorum,29391,499
WP_008879498.1,glycerol kinase,Geobacillus,129337,497
WP_013523471.1,glycerol kinase,Geobacillus,129337,496
WP_011230857.1,glycerol kinase,Geobacillus kaustophilus,1462,496
WP_013145661.1,glycerol kinase,Geobacillus sp. C56-T3,691437,496
WP_015374485.1,glycerol kinase,Geobacillus sp. GHH01,1233873,496
WP_015863591.1,glycerol kinase,Geobacillus sp. WCH70,471223,496
WP_012531803.1,glycerol kinase,Geobacter bemidjiensis,225194,495
WP_012470731.1,glycerol kinase,Geobacter lovleyi,313985,496
WP_004511388.1,glycerol kinase,Geobacter metallireducens,28232,496
WP_015721718.1,glycerol kinase,Geobacter sp. M18,443143,493
WP_012774553.1,glycerol kinase,Geobacter sp. M21,443144,495
WP_010943390.1,glycerol kinase,Geobacter sulfurreducens,35554,496
WP_014551958.1,glycerol kinase,Geobacter sulfurreducens,35554,496
WP_012950991.1,glycerol kinase,Geodermatophilus obscurus,1861,502
WP_012950993.1,glycerol kinase,Geodermatophilus obscurus,1861,505
WP_006987851.1,glycerol kinase,Gillisia limnaea,195907,500
WP_002647165.1,glycerol kinase,Gimesia maris,122,495
WP_012222504.1,glycerol kinase,Gluconacetobacter diazotrophicus,33996,499
WP_013349045.1,glycerol kinase,Glutamicibacter arilaitensis,256701,506
WP_005206219.1,glycerol kinase,Gordonia,2053,501
WP_010841928.1,glycerol kinase,Gordonia,2053,495
WP_005178846.1,glycerol kinase,Gordonia aichiensis,36820,505
WP_005178854.1,glycerol kinase,Gordonia aichiensis,36820,501
WP_006434533.1,glycerol kinase,Gordonia amicalis,89053,495
WP_018177909.1,glycerol kinase,Gordonia kroppenstedtii,1121721,503
WP_008379869.1,glycerol kinase,Gordonia malaquae,410332,502
WP_006865916.1,glycerol kinase,Gordonia namibiensis,168480,495
WP_009677964.1,glycerol kinase,Gordonia neofelifaecis,945692,502
WP_007240292.1,glycerol kinase,Gordonia otitidis,249058,501
WP_007240295.1,glycerol kinase,Gordonia otitidis,249058,505
WP_006901842.1,glycerol kinase,Gordonia paraffinivorans,175628,495
WP_014359546.1,glycerol kinase,Gordonia polyisoprenivorans,84595,502
WP_020171712.1,glycerol kinase,Gordonia polyisoprenivorans,84595,502
WP_005195986.1,glycerol kinase,Gordonia rubripertincta,36822,495
WP_006896516.1,glycerol kinase,Gordonia sihwensis,173559,502
WP_007623230.1,glycerol kinase,Gordonia soli,320799,495
